,,Control,15c,15c,Control,15an,15a,15an,15a
ENSG00000010626,,52,53,0,82,132,91,84,58
ENSG00000248593,,74,191,36,54,147,93,51,74
ENSG00000275703,,36,8,0,0,10,12,26,4
ENSG00000111674,,364,743,174,655,844,682,539,435
ENSG00000111676,,1123,2628,838,1770,3498,2215,1861,1824
ENSG00000111678,,57,182,53,97,271,123,201,88
ENSG00000272173,,2,0,0,0,11,0,0,0
ENSG00000111679,,213,206,166,319,592,481,153,253
ENSG00000257084,,0,0,0,3,0,0,0,0
ENSG00000207713,,0,0,0,0,28,0,0,0
ENSG00000207708,,0,0,0,0,14,0,0,0
ENSG00000271969,,0,0,0,0,0,0,12,0
ENSG00000215021,,623,1694,466,846,2656,1515,1132,913
ENSG00000126749,,6,41,0,15,76,134,44,35
ENSG00000268439,,23,13,0,4,1,4,0,0
ENSG00000111684,,269,454,160,243,1300,789,354,440
ENSG00000272201,,0,0,0,8,0,0,0,18
ENSG00000182326,,160,569,286,408,839,487,414,424
ENSG00000159403,,97,372,37,222,605,337,193,299
ENSG00000139178,,174,385,130,311,769,280,239,365
ENSG00000205885,,123,459,100,174,539,233,169,154
ENSG00000200345,,0,0,0,14,0,0,0,16
ENSG00000139194,,33,127,8,140,191,121,41,41
ENSG00000256967,,12,99,41,34,124,87,74,24
ENSG00000139182,,112,335,102,232,464,222,207,182
ENSG00000255572,,0,0,0,7,0,0,0,0
ENSG00000139197,,566,1363,434,886,2009,1387,974,829
ENSG00000215009,,8,10,0,0,31,22,18,0
ENSG00000177675,,96,248,48,152,324,205,99,124
ENSG00000255836,,0,4,0,0,0,0,0,0
ENSG00000235868,,0,0,0,0,0,0,0,4
ENSG00000111704,,0,0,0,0,0,1,0,0
ENSG00000173262,,0,0,0,0,0,0,0,0
ENSG00000278459,,0,0,0,0,0,0,0,0
ENSG00000241828,,0,0,0,0,0,0,0,0
ENSG00000255885,,0,0,0,0,0,0,0,0
ENSG00000176654,,0,0,0,0,0,0,0,0
ENSG00000255356,,0,0,0,0,0,0,0,0
ENSG00000059804,,0,0,0,2,0,0,0,0
ENSG00000255964,,0,0,0,6,1,0,0,0
ENSG00000065970,,288,658,135,383,797,699,252,421
ENSG00000171860,,0,0,0,0,0,0,0,0
ENSG00000279865,,0,14,0,1,0,0,0,0
ENSG00000089818,,84,211,60,225,230,167,157,98
ENSG00000111729,,0,0,9,0,0,8,0,0
ENSG00000235602,,0,1,0,0,2,0,0,10
ENSG00000226711,,11,32,18,4,66,19,0,16
ENSG00000244050,,0,0,0,0,0,0,0,0
ENSG00000275367,,0,0,0,0,0,2,0,0
ENSG00000171847,,0,6,0,0,26,24,12,16
ENSG00000254016,,4,0,8,6,0,15,14,1
ENSG00000164845,,0,21,0,16,22,8,8,15
ENSG00000215241,,12,16,4,22,22,2,0,0
ENSG00000256589,,0,0,0,0,13,0,16,14
ENSG00000226091,,0,0,0,0,14,0,0,0
ENSG00000256552,,0,0,0,0,6,0,16,0
ENSG00000256101,,0,0,0,0,0,0,0,0
ENSG00000277952,,0,0,0,2,0,0,0,5
ENSG00000242661,,0,0,0,0,0,0,0,4
ENSG00000255967,,0,0,6,0,1,2,8,2
ENSG00000197614,,0,0,0,0,0,0,0,0
ENSG00000255829,,0,0,0,0,0,0,0,0
ENSG00000166532,,18,49,4,30,73,44,68,52
ENSG00000244131,,0,0,0,0,0,0,0,0
ENSG00000249790,,0,25,0,9,82,27,0,43
ENSG00000166535,,0,0,0,1,0,0,0,0
ENSG00000111752,,33,16,30,59,129,78,78,43
ENSG00000003056,,541,1624,382,811,2455,1087,885,871
ENSG00000139187,,10,0,0,0,0,0,0,0
ENSG00000214851,,0,0,0,4,16,0,0,2
ENSG00000245105,,0,0,0,0,36,0,0,0
ENSG00000175899,,2,10,0,0,0,7,0,0
ENSG00000256937,,0,0,0,0,8,0,0,0
ENSG00000126838,,0,0,0,0,0,6,0,0
ENSG00000256817,,0,0,0,0,0,0,2,0
ENSG00000231503,,0,2,0,4,3,3,0,0
ENSG00000111788,,152,189,2,125,145,270,53,166
ENSG00000255753,,0,0,0,6,0,0,0,0
ENSG00000256673,,12,8,0,8,0,0,0,9
ENSG00000278635,,18,11,2,0,22,20,0,1
ENSG00000214826,,175,119,41,232,230,127,67,187
ENSG00000214776,,0,0,0,0,0,0,0,0
ENSG00000111796,,0,0,0,0,0,0,0,8
ENSG00000256594,,63,57,22,90,168,136,35,34
ENSG00000233719,,0,0,0,0,2,0,0,0
ENSG00000256442,,0,0,0,0,0,0,0,0
ENSG00000257027,,79,96,0,102,107,115,22,14
ENSG00000069493,,53,32,17,52,97,72,10,52
ENSG00000110852,,30,10,0,12,5,37,31,26
ENSG00000231560,,1,1,0,0,0,0,0,0
ENSG00000172243,,1,0,0,0,0,0,0,0
ENSG00000173391,,0,0,0,0,0,0,0,0
ENSG00000139112,,132,484,188,214,758,417,379,259
ENSG00000134539,,0,0,0,16,0,0,0,0
ENSG00000245648,,6,2,0,28,14,20,0,8
ENSG00000255819,,0,0,0,0,0,0,0,8
ENSG00000213809,,0,0,0,0,0,0,0,0
ENSG00000205810,,0,0,0,0,0,0,1,0
ENSG00000205809,,14,2,0,5,2,1,0,0
ENSG00000134545,,0,2,0,0,0,0,0,0
ENSG00000180574,,29,48,30,14,96,126,66,28
ENSG00000256667,,4,14,0,8,8,16,10,0
ENSG00000111196,,116,214,26,85,385,243,181,101
ENSG00000060140,,0,0,0,0,0,2,0,0
ENSG00000060138,,0,0,0,0,0,0,0,0
ENSG00000256888,,0,0,0,0,0,0,0,3
ENSG00000111215,,34,9,0,10,4,7,2,0
ENSG00000134551,,0,0,0,0,3,1,0,0
ENSG00000256436,,1,0,0,0,0,0,0,0
ENSG00000226761,,0,0,0,0,4,0,0,0
ENSG00000256188,,0,0,0,0,0,0,0,2
ENSG00000256712,,0,0,0,1,0,0,0,0
ENSG00000256537,,1,0,0,0,0,0,0,0
ENSG00000197870,,0,0,0,0,0,0,0,0
ENSG00000251655,,0,0,0,0,0,1,0,0
ENSG00000121335,,0,0,0,0,0,1,0,0
ENSG00000255790,,0,0,0,0,1,0,0,0
ENSG00000278654,,8,0,6,0,6,0,0,2
ENSG00000270863,,0,13,0,0,24,0,0,10
ENSG00000221128,,0,3,0,0,0,0,0,0
ENSG00000251747,,0,14,0,0,0,0,0,0
ENSG00000247157,,0,29,10,28,27,0,36,23
ENSG00000139083,,215,607,185,271,1201,413,539,480
ENSG00000121380,,0,13,0,6,0,9,26,6
ENSG00000198134,,2,2,10,17,11,2,1,3
ENSG00000070018,,871,1450,486,902,1920,1107,1158,982
ENSG00000242405,,0,0,0,0,0,0,0,0
ENSG00000199551,,0,0,0,8,0,0,0,0
ENSG00000270857,,0,10,0,0,12,0,0,0
ENSG00000111261,,71,196,68,116,545,122,140,46
ENSG00000243141,,0,2,0,0,8,0,0,0
ENSG00000205791,,4,2,0,0,2,6,0,0
ENSG00000165714,,149,207,89,152,417,267,253,55
ENSG00000271370,,0,0,0,0,0,0,8,14
ENSG00000111266,,296,607,118,183,1079,312,391,254
ENSG00000255670,,0,0,0,0,4,0,0,0
ENSG00000111269,,224,766,251,335,895,520,463,333
ENSG00000271215,,0,35,0,9,5,0,6,0
ENSG00000275963,,0,6,0,0,0,0,0,0
ENSG00000183150,,0,0,0,0,0,0,0,0
ENSG00000257004,,0,0,0,0,14,0,0,0
ENSG00000111276,,262,945,244,377,1087,724,642,470
ENSG00000275560,,8,2,0,16,4,0,0,24
ENSG00000256658,,0,0,0,6,0,0,0,12
ENSG00000178878,,38,119,22,94,261,145,118,20
ENSG00000207983,,0,0,0,8,0,0,0,0
ENSG00000270296,,0,0,0,0,0,0,1,0
ENSG00000213782,,0,22,6,22,29,62,23,0
ENSG00000242329,,2,0,0,0,0,0,3,0
ENSG00000241352,,0,0,0,0,0,0,0,0
ENSG00000234498,,26,23,0,18,23,48,20,31
ENSG00000013588,,1042,1436,270,1479,2254,1383,1202,854
ENSG00000247498,,28,19,0,9,64,30,12,9
ENSG00000111291,,0,18,0,0,6,9,8,20
ENSG00000256011,,0,0,9,0,0,0,0,7
ENSG00000013583,,204,459,72,141,414,266,210,148
ENSG00000183935,,24,83,6,82,106,105,24,6
ENSG00000255621,,14,0,0,0,2,0,4,0
ENSG00000243129,,0,0,0,0,0,0,0,0
ENSG00000084444,,76,170,46,53,338,182,105,152
ENSG00000111305,,0,4,0,0,0,0,0,0
ENSG00000134531,,582,1055,260,862,2121,839,624,704
ENSG00000180861,,26,18,0,20,54,48,14,34
ENSG00000273079,,0,0,4,0,0,0,0,0
ENSG00000274302,,0,0,0,0,0,0,0,0
ENSG00000244573,,0,0,0,0,0,16,0,0
ENSG00000171681,,687,1402,345,1052,1818,1048,1157,918
ENSG00000121316,,0,0,0,0,0,0,0,8
ENSG00000261324,,16,14,0,23,30,13,32,16
ENSG00000197837,,437,711,192,640,1335,905,404,668
ENSG00000246705,,424,1034,288,580,1682,758,732,744
ENSG00000084463,,525,761,314,764,1465,887,649,543
ENSG00000182993,,0,10,0,0,38,34,18,0
ENSG00000179256,,6,0,0,0,0,0,20,0
ENSG00000111339,,24,18,2,10,22,15,32,35
ENSG00000111341,,0,0,0,0,1,0,0,0
ENSG00000111348,,73,65,6,114,131,45,20,68
ENSG00000151491,,956,1606,461,1432,2819,1614,1161,921
ENSG00000200105,,0,0,0,10,0,0,0,0
ENSG00000255565,,18,4,0,0,0,4,2,8
ENSG00000256953,,0,0,16,0,0,0,0,0
ENSG00000023734,,546,1124,328,822,2246,1105,912,624
ENSG00000023697,,90,204,74,138,520,315,116,145
ENSG00000256134,,8,14,0,0,0,0,6,0
ENSG00000277216,,0,0,0,0,4,0,0,0
ENSG00000008394,,1440,3829,1101,1551,6102,3363,2064,1993
ENSG00000256238,,30,21,0,17,33,19,15,11
ENSG00000256450,,0,16,0,0,0,0,0,0
ENSG00000048540,,6,29,0,32,0,0,2,17
ENSG00000256564,,0,2,0,0,12,0,8,0
ENSG00000255871,,0,0,0,0,0,0,0,0
ENSG00000256211,,0,0,0,0,0,0,0,0
ENSG00000213235,,0,2,0,0,0,6,2,0
ENSG00000256896,,0,0,0,0,0,0,0,0
ENSG00000256756,,0,0,0,0,0,0,0,0
ENSG00000139144,,0,0,0,4,0,0,0,0
ENSG00000255993,,0,8,0,0,0,0,2,2
ENSG00000227525,,10,0,0,3,6,4,3,0
ENSG00000052126,,358,940,233,538,1165,704,799,547
ENSG00000253284,,94,108,42,96,88,99,39,100
ENSG00000240993,,8,50,0,30,18,30,14,0
ENSG00000243854,,30,11,0,2,0,0,14,10
ENSG00000139154,,579,1301,339,867,1890,1142,851,924
ENSG00000255909,,3,4,0,0,5,8,0,2
ENSG00000200247,,14,0,0,0,0,6,10,0
ENSG00000245205,,15,14,0,6,0,2,0,0
ENSG00000240328,,2,0,0,4,0,0,0,0
ENSG00000256849,,4,6,0,0,0,0,0,0
ENSG00000172572,,0,0,0,0,0,0,0,0
ENSG00000256663,,277,281,103,383,379,450,152,311
ENSG00000139155,,0,0,0,0,0,0,0,0
ENSG00000111700,,0,0,0,0,0,0,0,0
ENSG00000256157,,0,0,0,0,0,0,0,0
ENSG00000134538,,0,0,0,0,0,0,0,0
ENSG00000084453,,0,0,0,4,0,0,0,2
ENSG00000121350,,104,311,73,110,378,349,210,146
ENSG00000256021,,0,0,2,0,0,0,0,0
ENSG00000004700,,195,395,51,275,395,399,193,129
ENSG00000111711,,417,1091,138,494,1003,741,899,432
ENSG00000134548,,26,16,0,0,8,0,21,4
ENSG00000111713,,0,0,0,4,0,0,10,0
ENSG00000111716,,1659,2690,1034,2057,5645,3242,1705,1770
ENSG00000256615,,0,8,0,0,0,0,0,0
ENSG00000069431,,0,9,0,0,0,0,0,0
ENSG00000257022,,0,0,0,0,0,0,0,0
ENSG00000111726,,427,588,202,583,1214,730,492,352
ENSG00000111728,,0,0,0,0,0,0,0,0
ENSG00000111731,,177,356,84,244,615,222,139,294
ENSG00000256973,,4,18,0,26,18,0,17,0
ENSG00000256371,,0,0,0,0,0,6,0,0
ENSG00000139163,,643,1358,405,787,1821,1055,1043,890
ENSG00000274885,,10,0,0,20,22,28,0,4
ENSG00000256995,,0,0,0,0,0,0,0,0
ENSG00000256923,,0,6,0,0,0,0,0,0
ENSG00000256321,,0,0,0,0,0,0,0,0
ENSG00000115934,,0,0,0,0,0,0,0,0
ENSG00000134532,,0,0,0,0,0,0,0,0
ENSG00000255864,,0,0,0,0,0,0,0,0
ENSG00000240481,,0,0,0,0,0,3,0,0
ENSG00000060982,,0,30,0,22,2,0,0,0
ENSG00000256482,,0,0,0,0,0,0,0,0
ENSG00000278969,,0,0,0,0,0,0,0,0
ENSG00000255921,,0,0,0,0,0,0,0,0
ENSG00000226397,,0,3,0,1,2,2,0,4
ENSG00000118308,,0,0,0,0,0,0,0,0
ENSG00000276842,,0,0,0,0,0,0,0,0
ENSG00000118307,,0,0,2,0,0,0,0,0
ENSG00000205707,,22,52,13,19,182,50,14,24
ENSG00000133703,,257,589,212,430,992,646,301,309
ENSG00000275197,,0,0,0,0,12,4,20,0
ENSG00000278743,,0,42,8,4,12,4,0,28
ENSG00000255725,,30,14,0,0,18,11,24,0
ENSG00000246695,,35,107,35,66,97,127,65,13
ENSG00000123094,,120,114,10,33,163,139,138,64
ENSG00000123095,,0,0,4,2,0,0,0,0
ENSG00000123096,,0,0,0,0,0,0,0,0
ENSG00000256894,,0,0,0,0,12,0,0,0
ENSG00000278095,,0,0,0,0,0,0,0,0
ENSG00000255968,,0,0,0,0,0,0,0,0
ENSG00000123104,,36,48,5,39,170,70,16,33
ENSG00000234428,,0,0,0,0,0,0,0,6
ENSG00000256640,,0,0,0,0,0,0,0,0
ENSG00000064102,,99,246,65,275,424,427,261,260
ENSG00000111790,,70,402,62,200,459,204,211,172
ENSG00000247903,,51,114,60,61,196,92,58,48
ENSG00000064115,,457,856,245,570,1147,728,568,498
ENSG00000152944,,93,223,56,80,412,193,134,52
ENSG00000275764,,16,65,14,21,109,72,42,14
ENSG00000214700,,0,20,0,0,0,0,0,0
ENSG00000256625,,0,5,0,0,0,0,0,0
ENSG00000211455,,161,409,80,289,581,420,252,128
ENSG00000029153,,405,1071,354,570,1013,791,650,448
ENSG00000245311,,0,0,0,0,0,0,3,0
ENSG00000165935,,0,0,0,14,0,0,0,0
ENSG00000110841,,582,1045,287,830,1779,933,843,619
ENSG00000248100,,0,18,0,0,33,22,10,22
ENSG00000256056,,1,0,19,10,14,16,0,0
ENSG00000256557,,0,20,0,0,0,0,0,0
ENSG00000256377,,0,0,0,0,0,0,0,0
ENSG00000061794,,448,707,286,527,1266,856,554,414
ENSG00000252585,,0,0,0,0,0,0,0,0
ENSG00000256747,,0,0,0,0,0,0,0,0
ENSG00000087448,,62,306,51,146,438,158,250,147
ENSG00000087494,,31,28,2,22,5,24,0,2
ENSG00000257042,,0,0,0,8,0,0,0,0
ENSG00000123106,,173,301,49,193,221,120,138,157
ENSG00000247934,,0,12,0,19,27,33,2,14
ENSG00000255951,,2,14,0,10,0,0,0,0
ENSG00000278733,,0,0,10,28,0,0,0,0
ENSG00000273989,,6,4,0,0,2,0,0,0
ENSG00000202187,,0,26,0,0,0,0,0,0
ENSG00000244712,,0,0,0,6,0,0,0,0
ENSG00000064763,,194,308,68,135,614,271,222,249
ENSG00000275278,,0,0,0,0,0,0,0,6
ENSG00000275476,,0,2,0,0,0,14,0,18
ENSG00000257176,,0,48,1,12,6,2,2,18
ENSG00000274315,,10,2,2,0,22,36,12,0
ENSG00000273680,,0,8,0,12,6,0,0,0
ENSG00000087502,,171,500,132,297,646,413,467,285
ENSG00000257599,,0,0,0,0,1,0,0,0
ENSG00000187950,,0,0,0,0,0,0,0,0
ENSG00000133687,,96,130,102,101,301,239,104,111
ENSG00000257456,,0,0,0,0,0,0,0,0
ENSG00000242986,,0,0,0,0,0,0,0,0
ENSG00000257262,,0,0,0,0,1,0,0,0
ENSG00000133704,,281,402,154,262,811,250,379,332
ENSG00000110888,,343,562,83,444,547,396,270,401
ENSG00000246331,,2,8,0,2,26,17,0,4
ENSG00000235884,,52,68,4,148,272,132,41,52
ENSG00000110900,,0,30,0,18,99,36,58,20
ENSG00000226472,,0,24,0,0,3,0,12,0
ENSG00000256984,,0,0,0,2,0,0,0,0
ENSG00000245614,,18,2,0,16,32,2,16,2
ENSG00000013573,,409,438,136,269,555,611,292,341
ENSG00000270926,,0,0,0,18,0,0,0,2
ENSG00000243517,,0,1,0,0,0,0,0,0
ENSG00000139146,,6,33,2,7,8,6,8,12
ENSG00000177340,,0,0,0,0,4,9,0,2
ENSG00000256232,,0,0,24,10,6,24,0,2
ENSG00000170456,,315,626,159,251,1074,678,631,324
ENSG00000200388,,0,0,0,0,0,5,0,0
ENSG00000275769,,10,10,0,0,12,14,3,0
ENSG00000203437,,0,16,0,30,4,70,12,54
ENSG00000256159,,9,16,4,10,0,0,0,0
ENSG00000201228,,0,0,0,0,0,0,0,0
ENSG00000225349,,0,0,0,5,27,0,16,0
ENSG00000255867,,10,102,3,31,17,20,26,6
ENSG00000233381,,0,1,0,4,0,0,0,0
ENSG00000139160,,25,18,9,6,15,6,12,0
ENSG00000151743,,16,64,18,52,91,37,36,48
ENSG00000276058,,0,0,0,10,0,14,0,0
ENSG00000276900,,72,243,26,133,274,276,117,125
ENSG00000256843,,0,1,0,16,7,0,0,0
ENSG00000223722,,0,12,0,0,19,0,0,0
ENSG00000188375,,14,34,0,14,40,12,27,5
ENSG00000256987,,0,17,0,0,0,0,0,0
ENSG00000174718,,364,664,183,290,829,569,397,184
ENSG00000276136,,0,0,0,0,24,0,18,6
ENSG00000151746,,206,433,29,229,325,225,244,193
ENSG00000277342,,8,0,0,0,11,0,0,8
ENSG00000258134,,0,24,0,20,23,16,25,0
ENSG00000274964,,0,18,0,7,18,10,12,26
ENSG00000276115,,0,36,0,16,87,12,50,0
ENSG00000139132,,122,360,148,153,388,250,259,130
ENSG00000087470,,447,938,177,352,1183,773,482,390
ENSG00000257643,,0,0,0,0,0,0,0,0
ENSG00000201563,,14,0,0,2,0,0,0,2
ENSG00000276148,,0,4,0,6,13,6,0,0
ENSG00000257511,,0,20,0,2,17,2,2,8
ENSG00000139131,,135,297,83,127,567,396,211,157
ENSG00000274105,,6,10,0,0,0,0,3,29
ENSG00000275854,,0,0,0,0,0,0,0,0
ENSG00000057294,,270,361,61,298,399,253,187,246
ENSG00000274976,,0,0,0,0,0,0,0,0
ENSG00000110975,,0,0,0,0,0,0,0,0
ENSG00000256070,,0,0,0,0,0,0,0,0
ENSG00000139133,,6,21,8,9,40,8,11,17
ENSG00000256538,,0,0,0,4,0,0,0,0
ENSG00000272435,,0,0,0,0,0,0,0,0
ENSG00000258794,,0,0,0,0,0,0,0,0
ENSG00000199843,,0,0,0,0,0,0,0,1
ENSG00000254381,,0,0,0,2,0,0,0,0
ENSG00000175548,,102,151,38,32,210,168,178,144
ENSG00000257645,,0,0,0,0,6,4,0,0
ENSG00000139117,,213,588,142,334,706,630,416,324
ENSG00000257718,,0,43,0,28,38,28,0,0
ENSG00000139116,,252,534,100,338,839,381,361,300
ENSG00000180116,,3,16,14,0,0,12,46,0
ENSG00000151229,,419,1362,177,464,1533,643,617,436
ENSG00000199571,,0,0,0,0,0,0,0,14
ENSG00000229014,,0,0,0,0,0,0,0,4
ENSG00000225342,,0,0,0,0,0,0,4,0
ENSG00000188906,,0,0,0,0,0,0,0,0
ENSG00000205592,,0,0,0,0,1,0,0,0
ENSG00000151233,,150,544,91,107,619,348,221,150
ENSG00000015153,,121,269,46,116,351,195,341,225
ENSG00000134283,,397,581,311,434,1066,743,611,608
ENSG00000257674,,0,2,0,0,0,0,0,0
ENSG00000139168,,243,459,88,316,475,320,269,347
ENSG00000278520,,0,0,0,2,4,0,9,7
ENSG00000252917,,0,0,0,0,0,0,10,0
ENSG00000274943,,0,0,0,0,48,0,26,16
ENSG00000199886,,0,0,12,0,0,2,0,0
ENSG00000257376,,0,0,0,0,8,8,3,0
ENSG00000207142,,2,11,0,5,9,4,9,1
ENSG00000139174,,0,0,0,0,0,0,0,0
ENSG00000240759,,0,2,0,0,0,1,0,0
ENSG00000257114,,0,0,0,0,0,0,0,0
ENSG00000257849,,0,0,0,0,0,0,0,0
ENSG00000173157,,14,20,0,16,8,18,0,24
ENSG00000257742,,40,62,22,82,100,69,83,133
ENSG00000129317,,103,151,30,98,296,110,54,167
ENSG00000257896,,2,22,0,0,1,0,8,18
ENSG00000198001,,132,186,68,260,535,139,170,160
ENSG00000151239,,416,757,113,451,1123,592,488,364
ENSG00000139173,,27,54,24,64,100,46,22,7
ENSG00000258212,,0,8,0,0,32,10,0,0
ENSG00000257864,,0,0,0,0,10,0,0,10
ENSG00000257331,,0,0,0,0,10,0,0,0
ENSG00000134297,,43,36,10,40,137,51,2,52
ENSG00000257738,,0,0,0,0,16,0,4,0
ENSG00000177119,,1147,2576,584,1706,3705,2619,1769,1492
ENSG00000278351,,0,0,0,0,20,0,0,0
ENSG00000239178,,0,2,0,0,0,1,0,0
ENSG00000273015,,45,106,78,92,273,97,114,166
ENSG00000189079,,132,336,110,343,478,298,333,263
ENSG00000278475,,0,0,0,0,6,0,0,0
ENSG00000265093,,0,0,0,0,0,10,19,0
ENSG00000270429,,28,4,0,0,8,0,0,0
ENSG00000139218,,1031,2389,862,1503,4048,2546,1922,1164
ENSG00000111371,,1944,4010,1156,2497,7120,4068,3239,2272
ENSG00000274591,,10,24,2,7,35,34,19,22
ENSG00000134294,,2094,3938,1099,2411,7290,4013,3390,2257
ENSG00000258096,,22,54,16,44,75,71,26,8
ENSG00000257261,,37,54,0,33,158,81,42,14
ENSG00000257496,,0,0,0,4,0,24,0,0
ENSG00000275481,,14,38,0,2,86,16,42,36
ENSG00000278896,,16,58,4,23,22,24,10,8
ENSG00000272369,,2,10,0,0,4,0,0,15
ENSG00000272963,,0,1,0,0,2,5,0,2
ENSG00000271642,,0,2,0,0,0,0,0,0
ENSG00000139209,,4,36,0,18,18,52,20,24
ENSG00000274723,,0,0,0,0,0,0,0,0
ENSG00000139211,,544,792,424,783,2306,1217,637,518
ENSG00000179715,,218,766,299,504,1528,775,479,569
ENSG00000258352,,4,32,2,18,6,8,17,6
ENSG00000263838,,0,0,0,0,0,0,0,0
ENSG00000247774,,70,119,22,166,143,109,69,54
ENSG00000257925,,0,12,8,4,18,22,0,2
ENSG00000258181,,4,2,12,2,50,0,8,0
ENSG00000276454,,0,0,0,0,0,6,0,0
ENSG00000257906,,0,0,0,0,2,0,0,0
ENSG00000005175,,94,360,82,282,331,398,238,202
ENSG00000276390,,0,0,0,0,0,2,14,0
ENSG00000257433,,3,8,10,14,26,8,2,4
ENSG00000111405,,0,10,4,18,0,8,14,2
ENSG00000280054,,0,4,30,0,0,0,6,0
ENSG00000274902,,0,0,0,0,0,2,10,0
ENSG00000277874,,0,18,0,0,0,0,0,0
ENSG00000079337,,130,258,110,272,342,178,299,271
ENSG00000211584,,440,987,290,512,1699,821,451,520
ENSG00000277173,,0,0,0,0,0,4,0,0
ENSG00000061273,,571,1395,328,978,1656,1081,916,622
ENSG00000268069,,0,0,0,2,0,0,0,4
ENSG00000276691,,0,0,0,0,0,0,8,10
ENSG00000274737,,0,0,2,24,12,0,8,2
ENSG00000257488,,0,0,0,0,0,0,0,0
ENSG00000111424,,60,124,57,106,243,150,122,85
ENSG00000205537,,0,14,0,0,14,0,0,0
ENSG00000134291,,466,624,118,470,910,523,320,263
ENSG00000276814,,0,0,0,8,9,14,0,0
ENSG00000079387,,213,260,45,95,265,246,110,147
ENSG00000240399,,0,0,0,0,26,4,0,0
ENSG00000226138,,8,4,0,15,0,0,8,2
ENSG00000152556,,309,791,237,789,2196,1030,556,599
ENSG00000275770,,0,0,0,19,0,0,0,0
ENSG00000177981,,126,383,125,115,602,377,143,164
ENSG00000274124,,0,6,26,0,6,8,0,0
ENSG00000258273,,0,0,0,11,7,0,0,0
ENSG00000167528,,82,278,84,149,303,322,151,168
ENSG00000257763,,0,0,0,0,0,0,0,18
ENSG00000273765,,0,8,0,0,0,0,0,0
ENSG00000139223,,0,0,0,0,0,1,1,0
ENSG00000139620,,126,363,97,135,662,361,310,218
ENSG00000221491,,290,1155,388,701,1551,1251,892,877
ENSG00000206612,,214,241,48,146,498,221,201,138
ENSG00000207313,,268,432,130,263,758,529,408,325
ENSG00000129315,,379,880,185,556,1352,713,466,409
ENSG00000257987,,0,0,0,0,0,19,0,0
ENSG00000174233,,758,2367,507,1278,3245,1616,1498,1290
ENSG00000257660,,3,16,0,2,3,8,9,13
ENSG00000271547,,0,8,0,8,2,28,0,0
ENSG00000207467,,0,0,0,0,24,0,0,0
ENSG00000167535,,187,514,73,323,983,457,461,312
ENSG00000174243,,507,1228,217,931,1941,1127,911,891
ENSG00000172602,,39,396,58,123,1015,406,521,242
ENSG00000239617,,0,2,0,0,2,0,0,0
ENSG00000139537,,18,2,20,4,20,32,22,59
ENSG00000134285,,70,203,42,78,181,97,127,68
ENSG00000134287,,589,1361,391,807,2556,1470,1146,854
ENSG00000169884,,8,0,0,0,34,34,14,0
ENSG00000125084,,0,0,0,0,0,0,0,0
ENSG00000181418,,44,22,8,2,54,48,2,44
ENSG00000257913,,20,22,4,7,14,0,25,14
ENSG00000181929,,173,316,33,151,537,302,304,124
ENSG00000167548,,2531,6662,1501,3521,9492,5535,5167,3853
ENSG00000167550,,28,37,0,13,40,30,32,28
ENSG00000139549,,0,0,0,0,20,0,6,0
ENSG00000139636,,99,580,65,284,752,345,417,267
ENSG00000258017,,0,0,0,6,0,0,0,0
ENSG00000123416,,521,1030,295,795,1615,1259,536,804
ENSG00000200309,,0,0,0,0,0,2,0,0
ENSG00000167552,,102,167,16,118,224,236,54,66
ENSG00000167553,,530,741,236,1000,2162,1175,544,768
ENSG00000258101,,4,24,0,16,14,29,19,50
ENSG00000258232,,0,7,0,0,0,0,0,0
ENSG00000258334,,16,13,0,4,19,2,7,0
ENSG00000135406,,0,0,0,0,2,6,0,26
ENSG00000135451,,425,427,138,839,749,651,269,427
ENSG00000186897,,16,2,0,21,32,0,0,6
ENSG00000178401,,550,1450,457,1234,2535,1759,663,1016
ENSG00000123352,,240,476,162,333,737,499,404,410
ENSG00000257954,,0,0,0,0,20,0,0,24
ENSG00000135519,,0,34,0,0,21,20,10,42
ENSG00000187778,,410,982,284,724,1574,930,509,455
ENSG00000110844,,79,215,17,178,205,85,45,124
ENSG00000257964,,6,0,0,8,14,0,0,0
ENSG00000135436,,42,4,0,0,54,0,8,22
ENSG00000199237,,0,0,0,0,0,0,5,0
ENSG00000258284,,0,0,0,33,2,0,0,0
ENSG00000257243,,0,0,0,0,0,0,0,10
ENSG00000161791,,51,261,54,208,584,268,204,206
ENSG00000139644,,3597,9753,2946,5353,18119,8486,7393,5583
ENSG00000167566,,358,1653,365,733,2013,1083,1307,575
ENSG00000258057,,14,14,48,12,26,9,0,58
ENSG00000186666,,0,33,13,13,130,33,48,18
ENSG00000135472,,0,0,0,0,0,0,0,0
ENSG00000086159,,0,0,0,0,6,17,0,7
ENSG00000161800,,396,279,221,573,714,634,252,485
ENSG00000110881,,43,26,0,80,96,36,38,36
ENSG00000066117,,484,1051,325,625,1644,1068,522,663
ENSG00000167588,,20,196,88,41,201,58,64,126
ENSG00000178449,,119,239,34,223,399,256,198,137
ENSG00000272368,,0,59,0,9,55,4,1,14
ENSG00000139624,,256,616,178,353,832,266,474,260
ENSG00000050405,,1019,2405,415,1215,3677,1944,1576,1498
ENSG00000257298,,40,91,8,68,76,65,105,50
ENSG00000257531,,0,12,6,6,35,8,10,16
ENSG00000257256,,4,0,0,13,19,10,47,33
ENSG00000221604,,0,0,0,0,4,1,0,0
