Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0858252,Breast adenocarcinoma,,-2.6,7.3,4.7,30284,219,76,4,5.3,2.6,218|1543|1545|5743,ALDH3A1|CYP1A1|CYP1B1|PTGS2,-0.5,MyList
DisGeNET,35,C1565662,Acute Kidney Insufficiency,,-2.6,11,5.4,30284,104,76,3,3.9,2.2,3484|11093|54658,IGFBP1|ADAMTS13|UGT1A1,-0.5,MyList
DisGeNET,35,C0178664,Glomerulosclerosis (disorder),,-2.6,7.2,4.6,30284,221,76,4,5.3,2.6,3484|5743|6654|8856,IGFBP1|PTGS2|SOS1|NR1I2,-0.49,MyList
DisGeNET,35,C0409959,"Osteoarthritis, Knee",,-2.6,5.4,4.3,30284,368,76,5,6.6,2.8,5465|5743|6581|8856|102724428,PPARA|PTGS2|SLC22A3|NR1I2|LOC102724428,-0.49,MyList
TRRUST,34,TRR00125,Regulated by: CREB1,,-2.6,11,5.3,30284,105,76,3,3.9,2.2,360|4586|5743,AQP3|MUC5AC|PTGS2,-0.49,MyList
DisGeNET,35,C0600041,Infective cystitis,,-2.6,11,5.3,30284,106,76,3,3.9,2.2,5743|6581|8878,PTGS2|SLC22A3|SQSTM1,-0.48,MyList
DisGeNET,35,C1319315,Adenocarcinoma of large intestine,,-2.6,4.4,4,30284,543,76,6,7.9,3.1,290|1543|4586|5465|5743|6581,ANPEP|CYP1A1|MUC5AC|PPARA|PTGS2|SLC22A3,-0.48,MyList
DisGeNET,35,C0242422,Parkinsonian Disorders,,-2.6,5.3,4.2,30284,373,76,5,6.6,2.8,290|1917|5743|8878|9518,ANPEP|EEF1A2|PTGS2|SQSTM1|GDF15,-0.48,MyList
DisGeNET,35,C4704874,"Mammary Carcinoma, Human",,-2.6,4.4,4,30284,545,76,6,7.9,3.1,1543|1545|1591|3032|5743|7477,CYP1A1|CYP1B1|CYP24A1|HADHB|PTGS2|WNT7B,-0.48,MyList
DisGeNET,35,C0007117,Basal cell carcinoma,,-2.6,11,5.3,30284,108,76,3,3.9,2.2,1545|5743|7053,CYP1B1|PTGS2|TGM3,-0.47,MyList
DisGeNET,35,C0035078,Kidney Failure,,-2.6,5.3,4.2,30284,377,76,5,6.6,2.8,290|1591|5743|9518|11093,ANPEP|CYP24A1|PTGS2|GDF15|ADAMTS13,-0.46,MyList
DisGeNET,35,C1332922,Cervical Squamous Intraepithelial Neoplasia,,-2.6,11,5.2,30284,109,76,3,3.9,2.2,1543|5743|9518,CYP1A1|PTGS2|GDF15,-0.46,MyList
DisGeNET,35,C0011616,Contact Dermatitis,,-2.6,11,5.2,30284,110,76,3,3.9,2.2,1543|1545|54658,CYP1A1|CYP1B1|UGT1A1,-0.45,MyList
DisGeNET,35,C0149871,Deep Vein Thrombosis,,-2.6,6.9,4.5,30284,230,76,4,5.3,2.6,5743|6550|7412|11093,PTGS2|SLC9A3|VCAM1|ADAMTS13,-0.45,MyList
DisGeNET,35,C0339573,"Glaucoma, Primary Open Angle",,-2.6,5.2,4.2,30284,382,76,5,6.6,2.8,1543|1545|5743|9518|9962,CYP1A1|CYP1B1|PTGS2|GDF15|SLC23A2,-0.44,MyList
DisGeNET,35,C1168327,High-Grade Prostatic Intraepithelial Neoplasia,,-2.6,11,5.2,30284,111,76,3,3.9,2.2,5743|8878|9518,PTGS2|SQSTM1|GDF15,-0.44,MyList
DisGeNET,35,C0003811,Cardiac Arrhythmia,,-2.5,4.3,3.9,30284,559,76,6,7.9,3.1,3032|5743|6654|8856|9518|11093,HADHB|PTGS2|SOS1|NR1I2|GDF15|ADAMTS13,-0.44,MyList
DisGeNET,35,C0003507,Aortic Valve Stenosis,,-2.5,6.8,4.5,30284,234,76,4,5.3,2.6,1591|8856|9518|11093,CYP24A1|NR1I2|GDF15|ADAMTS13,-0.43,MyList
DisGeNET,35,C0015672,Fatigue,,-2.5,3.7,3.7,30284,758,76,7,9.2,3.3,290|1917|5743|7412|8878|9518|54658,ANPEP|EEF1A2|PTGS2|VCAM1|SQSTM1|GDF15|UGT1A1,-0.42,MyList
DisGeNET,35,C0016034,Breast Fibrocystic Disease,,-2.5,10,5.1,30284,114,76,3,3.9,2.2,1543|1545|5743,CYP1A1|CYP1B1|PTGS2,-0.42,MyList
DisGeNET,35,C0238461,Anaplastic thyroid carcinoma,,-2.5,5.1,4.1,30284,392,76,5,6.6,2.8,1591|5743|8140|9518|102724428,CYP24A1|PTGS2|SLC7A5|GDF15|LOC102724428,-0.4,MyList
DisGeNET,35,C0155626,Acute myocardial infarction,,-2.5,3.6,3.7,30284,766,76,7,9.2,3.3,290|2069|3484|5743|7412|8878|9518,ANPEP|EREG|IGFBP1|PTGS2|VCAM1|SQSTM1|GDF15,-0.4,MyList
DisGeNET,35,C0278996,Malignant Head and Neck Neoplasm,,-2.5,3.6,3.7,30284,767,76,7,9.2,3.3,1543|1545|5743|7053|9518|9962|54658,CYP1A1|CYP1B1|PTGS2|TGM3|GDF15|SLC23A2|UGT1A1,-0.4,MyList
DisGeNET,35,C0036095,Salivary Gland Neoplasms,,-2.5,10,5,30284,116,76,3,3.9,2.2,218|4586|5743,ALDH3A1|MUC5AC|PTGS2,-0.4,MyList
DisGeNET,35,C0333307,Superficial ulcer,,-2.5,6.6,4.4,30284,241,76,4,5.3,2.6,5743|7412|8140|9518,PTGS2|VCAM1|SLC7A5|GDF15,-0.4,MyList
DisGeNET,35,C0007789,Cerebral Palsy,,-2.5,6.6,4.4,30284,241,76,4,5.3,2.6,1591|5743|9518|54658,CYP24A1|PTGS2|GDF15|UGT1A1,-0.4,MyList
DisGeNET,35,C1449563,"Cardiomyopathy, Familial Idiopathic",,-2.5,3.6,3.7,30284,772,76,7,9.2,3.3,290|4586|5465|5743|6581|8878|9518,ANPEP|MUC5AC|PPARA|PTGS2|SLC22A3|SQSTM1|GDF15,-0.39,MyList
DisGeNET,35,C4721579,Secondary malignant neoplasm of colon and/or rectum,,-2.5,5,4,30284,397,76,5,6.6,2.8,2069|5743|9518|54658|84913,EREG|PTGS2|GDF15|UGT1A1|ATOH8,-0.39,MyList
DisGeNET,35,C0015674,Chronic Fatigue Syndrome,,-2.5,10,5,30284,118,76,3,3.9,2.2,4862|5743|9518,NPAS2|PTGS2|GDF15,-0.39,MyList
DisGeNET,35,C1963184,"Nystagmus, CTCAE 3.0",,-2.5,3.6,3.7,30284,779,76,7,9.2,3.3,1545|1917|6654|8878|57520|64840|79152,CYP1B1|EEF1A2|SOS1|SQSTM1|HECW2|PORCN|FA2H,-0.38,MyList
DisGeNET,35,C4554036,"Nystagmus, CTCAE 5.0",,-2.5,3.6,3.7,30284,779,76,7,9.2,3.3,1545|1917|6654|8878|57520|64840|79152,CYP1B1|EEF1A2|SOS1|SQSTM1|HECW2|PORCN|FA2H,-0.38,MyList
Transcription Factor Targets,16,M15429,HNF1 01,,-2.5,6.5,4.3,30284,246,76,4,5.3,2.6,290|3484|4862|54658,ANPEP|IGFBP1|NPAS2|UGT1A1,-0.37,MyList
DisGeNET,35,C0206677,Adenomatous Polyps,,-2.5,10,4.9,30284,120,76,3,3.9,2.2,4586|5743|9518,MUC5AC|PTGS2|GDF15,-0.37,MyList
DisGeNET,35,C0149721,Left Ventricular Hypertrophy,,-2.5,4.9,4,30284,403,76,5,6.6,2.8,3032|5465|5743|7412|9518,HADHB|PPARA|PTGS2|VCAM1|GDF15,-0.37,MyList
COVID,200,COVID043,RNA_Wyler_Caco-2_12h_Down,,-2.4,9.7,4.9,30284,123,76,3,3.9,2.2,1543|1545|9518,CYP1A1|CYP1B1|GDF15,-0.35,MyList
DisGeNET,35,C0008350,Cholelithiasis,,-2.4,6.3,4.3,30284,252,76,4,5.3,2.6,4586|5743|7433|54658,MUC5AC|PTGS2|VIPR1|UGT1A1,-0.34,MyList
DisGeNET,35,C0020295,Hydronephrosis,,-2.4,6.3,4.3,30284,252,76,4,5.3,2.6,1543|5743|9518|64840,CYP1A1|PTGS2|GDF15|PORCN,-0.34,MyList
DisGeNET,35,C0018671,Head and Neck Neoplasms,,-2.4,9.6,4.8,30284,124,76,3,3.9,2.2,1543|1545|5743,CYP1A1|CYP1B1|PTGS2,-0.34,MyList
DisGeNET,35,C4025272,Peripheral arterial stenosis,,-2.4,9.6,4.8,30284,124,76,3,3.9,2.2,7412|8856|9518,VCAM1|NR1I2|GDF15,-0.34,MyList
Transcription Factor Targets,16,M2727,ICSBP Q6,,-2.4,6.3,4.2,30284,253,76,4,5.3,2.6,2069|6654|10723|25987,EREG|SOS1|SLC12A7|TSKU,-0.34,MyList
DisGeNET,35,C2973725,Pulmonary arterial hypertension,,-2.4,4.8,3.9,30284,413,76,5,6.6,2.8,1545|5743|7412|9518|84913,CYP1B1|PTGS2|VCAM1|GDF15|ATOH8,-0.34,MyList
DisGeNET,35,C0752347,Lewy Body Disease,,-2.4,6.3,4.2,30284,255,76,4,5.3,2.6,5743|7412|8878|9518,PTGS2|VCAM1|SQSTM1|GDF15,-0.33,MyList
Transcription Factor Targets,16,M11442,HNF1 Q6,,-2.4,6.2,4.2,30284,256,76,4,5.3,2.6,290|3484|4862|54658,ANPEP|IGFBP1|NPAS2|UGT1A1,-0.33,MyList
Transcription Factor Targets,16,M5866,HNF4 01 B,,-2.4,6.2,4.2,30284,257,76,4,5.3,2.6,1543|5465|6654|51703,CYP1A1|PPARA|SOS1|ACSL5,-0.33,MyList
DisGeNET,35,C0206139,"Lichen Planus, Oral",,-2.4,6.2,4.2,30284,257,76,4,5.3,2.6,1591|5743|7053|7412,CYP24A1|PTGS2|TGM3|VCAM1,-0.33,MyList
TRRUST,34,TRR01259,Regulated by: SP3,,-2.4,9.4,4.8,30284,127,76,3,3.9,2.2,3484|6654|7032,IGFBP1|SOS1|TFF2,-0.33,MyList
DisGeNET,35,C0855197,Malignant Testicular Germ Cell Tumor,,-2.4,9.3,4.7,30284,128,76,3,3.9,2.2,1543|8878|54658,CYP1A1|SQSTM1|UGT1A1,-0.32,MyList
DisGeNET,35,C0024636,Malocclusion,,-2.4,9.3,4.7,30284,128,76,3,3.9,2.2,6654|8856|64840,SOS1|NR1I2|PORCN,-0.32,MyList
DisGeNET,35,C0086132,Depressive Symptoms,,-2.4,4.7,3.9,30284,421,76,5,6.6,2.8,1543|1545|4938|5743|6654,CYP1A1|CYP1B1|OAS1|PTGS2|SOS1,-0.32,MyList
DisGeNET,35,C0009241,Cognition Disorders,,-2.4,3.9,3.7,30284,606,76,6,7.9,3.1,290|5465|5743|7412|8878|11093,ANPEP|PPARA|PTGS2|VCAM1|SQSTM1|ADAMTS13,-0.32,MyList
DisGeNET,35,C0276138,Viral myocarditis,,-2.4,9.3,4.7,30284,129,76,3,3.9,2.2,5743|7412|8856,PTGS2|VCAM1|NR1I2,-0.32,MyList
DisGeNET,35,C0017612,"Glaucoma, Open-Angle",,-2.4,9.3,4.7,30284,129,76,3,3.9,2.2,1545|5743|93145,CYP1B1|PTGS2|OLFM2,-0.32,MyList
DisGeNET,35,C0685938,Malignant neoplasm of gastrointestinal tract,,-2.4,4.7,3.9,30284,423,76,5,6.6,2.8,1543|5743|7032|9518|54658,CYP1A1|PTGS2|TFF2|GDF15|UGT1A1,-0.32,MyList
DisGeNET,35,C0020433,Hyperbilirubinemia,,-2.4,9.1,4.7,30284,131,76,3,3.9,2.2,5465|11093|54658,PPARA|ADAMTS13|UGT1A1,-0.3,MyList
DisGeNET,35,C0020507,Hyperplasia,,-2.4,9.1,4.7,30284,131,76,3,3.9,2.2,4586|5743|8140,MUC5AC|PTGS2|SLC7A5,-0.3,MyList
COVID,200,COVID135,Proteome_Stukalov_A549-ACE2_24h_Up,,-2.4,9.1,4.7,30284,131,76,3,3.9,2.2,218|6520|8878,ALDH3A1|SLC3A2|SQSTM1,-0.3,MyList
DisGeNET,35,C0037274,Dermatologic disorders,,-2.3,3.9,3.6,30284,615,76,6,7.9,3.1,360|5465|5743|7053|7412|8856,AQP3|PPARA|PTGS2|TGM3|VCAM1|NR1I2,-0.3,MyList
DisGeNET,35,C0024814,Marinesco-Sjogren syndrome,,-2.3,9,4.6,30284,133,76,3,3.9,2.2,4586|5743|7412,MUC5AC|PTGS2|VCAM1,-0.29,MyList
DisGeNET,35,C0018800,Cardiomegaly,,-2.3,6,4.1,30284,267,76,4,5.3,2.6,1543|1545|5465|7412,CYP1A1|CYP1B1|PPARA|VCAM1,-0.29,MyList
Transcription Factor Targets,16,M2054,AP1 Q6 01,,-2.3,6,4.1,30284,267,76,4,5.3,2.6,1917|8878|25987|93611,EEF1A2|SQSTM1|TSKU|FBXO44,-0.29,MyList
DisGeNET,35,C0002895,"Anemia, Sickle Cell",,-2.3,4.6,3.8,30284,432,76,5,6.6,2.8,5465|7412|9518|11093|54658,PPARA|VCAM1|GDF15|ADAMTS13|UGT1A1,-0.29,MyList
DisGeNET,35,C0020459,Hyperinsulinism,,-2.3,3.9,3.6,30284,620,76,6,7.9,3.1,360|3484|5465|7412|9962|54658,AQP3|IGFBP1|PPARA|VCAM1|SLC23A2|UGT1A1,-0.29,MyList
DisGeNET,35,C0428474,Serum LDL cholesterol measurement,,-2.3,5.9,4.1,30284,269,76,4,5.3,2.6,5465|8856|51291|54658,PPARA|NR1I2|GMIP|UGT1A1,-0.29,MyList
COVID,200,COVID022,RNA_Keller_B-cells-CD21pos_infection_Up,,-2.3,5.9,4.1,30284,269,76,4,5.3,2.6,4938|5743|219855|102724428,OAS1|PTGS2|SLC37A2|LOC102724428,-0.29,MyList
DisGeNET,35,C0007138,"Carcinoma, Transitional Cell",,-2.3,3.8,3.6,30284,622,76,6,7.9,3.1,360|1545|5465|5743|8140|9518,AQP3|CYP1B1|PPARA|PTGS2|SLC7A5|GDF15,-0.29,MyList
Transcription Factor Targets,16,M16919,AP1FJ Q2,,-2.3,5.9,4,30284,271,76,4,5.3,2.6,1591|1917|64840|84913,CYP24A1|EEF1A2|PORCN|ATOH8,-0.28,MyList
DisGeNET,35,C3811653,Experimental Organism Basal Cell Carcinoma,,-2.3,4.6,3.8,30284,437,76,5,6.6,2.8,1543|1591|5743|7053|8140,CYP1A1|CYP24A1|PTGS2|TGM3|SLC7A5,-0.28,MyList
DisGeNET,35,C0039730,Thalassemia,,-2.3,8.8,4.6,30284,136,76,3,3.9,2.2,7412|9518|54658,VCAM1|GDF15|UGT1A1,-0.28,MyList
Cell Type Signatures,7,M39039,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 1,,-2.3,4.5,3.7,30284,440,76,5,6.6,2.8,1953|3910|6520|8140|120224,MEGF6|LAMA4|SLC3A2|SLC7A5|TMEM45B,-0.27,MyList
DisGeNET,35,C0026848,Myopathy,,-2.3,3.8,3.5,30284,633,76,6,7.9,3.1,3032|3910|5465|5743|8878|9518,HADHB|LAMA4|PPARA|PTGS2|SQSTM1|GDF15,-0.26,MyList
DisGeNET,35,C0025286,Meningioma,,-2.3,3.8,3.5,30284,634,76,6,7.9,3.1,290|1543|1545|5465|5743|25976,ANPEP|CYP1A1|CYP1B1|PPARA|PTGS2|TIPARP,-0.25,MyList
DisGeNET,35,C2607914,Allergic rhinitis (disorder),,-2.3,4.5,3.7,30284,445,76,5,6.6,2.8,4586|5465|5743|7433|8856,MUC5AC|PPARA|PTGS2|VIPR1|NR1I2,-0.25,MyList
DisGeNET,35,C0020550,Hyperthyroidism,,-2.3,5.7,4,30284,278,76,4,5.3,2.6,3484|5465|9518|54658,IGFBP1|PPARA|GDF15|UGT1A1,-0.25,MyList
DisGeNET,35,C0038644,Sudden infant death syndrome,,-2.3,8.5,4.5,30284,140,76,3,3.9,2.2,1543|6550|7433,CYP1A1|SLC9A3|VIPR1,-0.25,MyList
Cell Type Signatures,7,M40004,BUSSLINGER ESOPHAGEAL LATE SUPRABASAL CELLS,,-2.3,8.5,4.5,30284,140,76,3,3.9,2.2,218|360|7053,ALDH3A1|AQP3|TGM3,-0.25,MyList
DisGeNET,35,C0032300,Lobar Pneumonia,,-2.3,8.5,4.5,30284,140,76,3,3.9,2.2,5743|7032|8856,PTGS2|TFF2|NR1I2,-0.25,MyList
DisGeNET,35,C0017168,Gastroesophageal reflux disease,,-2.3,4.5,3.7,30284,446,76,5,6.6,2.8,1917|5743|7032|8856|64840,EEF1A2|PTGS2|TFF2|NR1I2|PORCN,-0.25,MyList
DisGeNET,35,C0041696,Unipolar Depression,,-2.3,3.7,3.5,30284,641,76,6,7.9,3.1,290|3484|4862|5743|7412|51291,ANPEP|IGFBP1|NPAS2|PTGS2|VCAM1|GMIP,-0.24,MyList
DisGeNET,35,C0019159,Hepatitis A,,-2.3,4.4,3.7,30284,450,76,5,6.6,2.8,5743|7433|8878|25976|54658,PTGS2|VIPR1|SQSTM1|TIPARP|UGT1A1,-0.24,MyList
DisGeNET,35,C0206624,Hepatoblastoma,,-2.3,4.4,3.7,30284,451,76,5,6.6,2.8,290|1543|5465|5743|7433,ANPEP|CYP1A1|PPARA|PTGS2|VIPR1,-0.24,MyList
DisGeNET,35,C0162557,"Liver Failure, Acute",,-2.3,5.7,3.9,30284,282,76,4,5.3,2.6,5465|5743|8878|64840,PPARA|PTGS2|SQSTM1|PORCN,-0.24,MyList
DisGeNET,35,C1302401,Adenoma of large intestine,,-2.3,4.4,3.7,30284,452,76,5,6.6,2.8,1543|1591|4586|5743|9962,CYP1A1|CYP24A1|MUC5AC|PTGS2|SLC23A2,-0.24,MyList
DisGeNET,35,C0017205,Gaucher Disease,,-2.2,8.4,4.4,30284,143,76,3,3.9,2.2,8856|9518|54658,NR1I2|GDF15|UGT1A1,-0.24,MyList
DisGeNET,35,C0205698,Undifferentiated carcinoma,,-2.2,5.6,3.9,30284,283,76,4,5.3,2.6,360|5465|5743|9615,AQP3|PPARA|PTGS2|GDA,-0.24,MyList
DisGeNET,35,C0278701,Gastric Adenocarcinoma,,-2.2,4.4,3.7,30284,453,76,5,6.6,2.8,360|1543|2838|5743|8878,AQP3|CYP1A1|GPR15|PTGS2|SQSTM1,-0.24,MyList
DisGeNET,35,C0153690,Secondary malignant neoplasm of bone,,-2.2,3.7,3.5,30284,647,76,6,7.9,3.1,2069|5743|7412|8856|8878|9518,EREG|PTGS2|VCAM1|NR1I2|SQSTM1|GDF15,-0.23,MyList
DisGeNET,35,C4721698,Metastatic Renal Cell Carcinoma,,-2.2,8.3,4.4,30284,144,76,3,3.9,2.2,5743|7412|54658,PTGS2|VCAM1|UGT1A1,-0.23,MyList
DisGeNET,35,C2827407,Infectious Otitis Media,,-2.2,8.2,4.4,30284,145,76,3,3.9,2.2,4586|5743|64840,MUC5AC|PTGS2|PORCN,-0.23,MyList
DisGeNET,35,C1839739,Thick lower lip vermilion,,-2.2,8.2,4.4,30284,145,76,3,3.9,2.2,1591|6654|57520,CYP24A1|SOS1|HECW2,-0.23,MyList
DisGeNET,35,C0278678,Metastatic Renal Cell Cancer,,-2.2,8.2,4.4,30284,145,76,3,3.9,2.2,5743|7412|54658,PTGS2|VCAM1|UGT1A1,-0.23,MyList
DisGeNET,35,C0040100,Thymoma,,-2.2,5.5,3.8,30284,291,76,4,5.3,2.6,3484|5465|5743|8140,IGFBP1|PPARA|PTGS2|SLC7A5,-0.2,MyList
DisGeNET,35,C0040137,Thyroid Nodule,,-2.2,8,4.3,30284,150,76,3,3.9,2.2,1543|5743|9518,CYP1A1|PTGS2|GDF15,-0.19,MyList
DisGeNET,35,C0030920,Peptic Ulcer,,-2.2,8,4.3,30284,150,76,3,3.9,2.2,1543|4586|5743,CYP1A1|MUC5AC|PTGS2,-0.19,MyList
DisGeNET,35,C0162309,Adrenoleukodystrophy,,-2.2,5.4,3.8,30284,294,76,4,5.3,2.6,3032|5465|8878|54658,HADHB|PPARA|SQSTM1|UGT1A1,-0.19,MyList
DisGeNET,35,C0162820,"Dermatitis, Allergic Contact",,-2.2,7.9,4.3,30284,151,76,3,3.9,2.2,1543|5465|8140,CYP1A1|PPARA|SLC7A5,-0.19,MyList
Cell Type Signatures,7,M41675,TRAVAGLINI LUNG ADVENTITIAL FIBROBLAST CELL,,-2.2,5.4,3.8,30284,296,76,4,5.3,2.6,1545|23764|25976|25987,CYP1B1|MAFF|TIPARP|TSKU,-0.18,MyList
DisGeNET,35,C0242339,Dyslipidemias,,-2.2,4.2,3.5,30284,471,76,5,6.6,2.8,290|5465|5743|7412|8856,ANPEP|PPARA|PTGS2|VCAM1|NR1I2,-0.18,MyList
DisGeNET,35,C0206694,Mucoepidermoid Carcinoma,,-2.2,7.8,4.2,30284,153,76,3,3.9,2.2,218|4586|5743,ALDH3A1|MUC5AC|PTGS2,-0.18,MyList
Cell Type Signatures,7,M39034,FAN EMBRYONIC CTX ASTROCYTE 2,,-2.2,7.8,4.2,30284,153,76,3,3.9,2.2,3910|6520|7412,LAMA4|SLC3A2|VCAM1,-0.18,MyList
DisGeNET,35,C0002878,"Anemia, Hemolytic",,-2.2,7.8,4.2,30284,153,76,3,3.9,2.2,5743|11093|54658,PTGS2|ADAMTS13|UGT1A1,-0.18,MyList
DisGeNET,35,C0042870,Vitamin D Deficiency,,-2.2,7.8,4.2,30284,153,76,3,3.9,2.2,1591|4862|5743,CYP24A1|NPAS2|PTGS2,-0.18,MyList
DisGeNET,35,C0341858,Endometriosis of uterus,,-2.2,7.8,4.2,30284,154,76,3,3.9,2.2,1543|3484|5743,CYP1A1|IGFBP1|PTGS2,-0.18,MyList
COVID,200,COVID199,Ubiquitinome_Stukalov_A549-ACE2_24h_Up,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,1917|6520|8140|8878,EEF1A2|SLC3A2|SLC7A5|SQSTM1,-0.18,MyList
COVID,200,COVID008,RNA_Blanco-Melo_A549_Up,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,1545|2069|23764|25976,CYP1B1|EREG|MAFF|TIPARP,-0.18,MyList
COVID,200,COVID048,RNA_Wyler_Calu-3_12h_Up,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,2635|4938|5743|25976,GBP3|OAS1|PTGS2|TIPARP,-0.18,MyList
COVID,200,COVID385,Interactome_Laurent_HEK293_24h_ORF7A,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,8140|8878|9962|10723,SLC7A5|SQSTM1|SLC23A2|SLC12A7,-0.18,MyList
COVID,200,COVID389,Interactome_Laurent_HEK293_24h_ORF9C,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,6520|8140|10723|79152,SLC3A2|SLC7A5|SLC12A7|FA2H,-0.18,MyList
COVID,200,COVID383,Interactome_Laurent_HEK293_24h_ORF3B,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,6520|8140|8878|10723,SLC3A2|SLC7A5|SQSTM1|SLC12A7,-0.18,MyList
COVID,200,COVID124,Interactome_Stukalov_A549_72h_ORF3,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,1917|9962|10723|25987,EEF1A2|SLC23A2|SLC12A7|TSKU,-0.18,MyList
COVID,200,COVID006,RNA_Appelberg_Huh-7_72h_Up,,-2.2,5.3,3.8,30284,300,76,4,5.3,2.6,1543|3484|120224|342035,CYP1A1|IGFBP1|TMEM45B|GLDN,-0.18,MyList
Transcription Factor Targets,16,M30173,SOX10 TARGET GENES,,-2.2,5.3,3.8,30284,301,76,4,5.3,2.6,3910|64781|84913|399665,LAMA4|CERK|ATOH8|EEIG1,-0.18,MyList
DisGeNET,35,C3841475,beta^+^ Thalassemia,,-2.2,7.7,4.2,30284,155,76,3,3.9,2.2,9518|54658|84913,GDF15|UGT1A1|ATOH8,-0.18,MyList
DisGeNET,35,C0040580,Tracheal Diseases,,-2.2,7.7,4.2,30284,155,76,3,3.9,2.2,4586|5743|7412,MUC5AC|PTGS2|VCAM1,-0.18,MyList
DisGeNET,35,C1292769,Precursor B-cell lymphoblastic leukemia,,-2.2,4.2,3.5,30284,478,76,5,6.6,2.8,290|1543|8856|9518|57491,ANPEP|CYP1A1|NR1I2|GDF15|AHRR,-0.18,MyList
DisGeNET,35,C0000737,Abdominal Pain,,-2.1,5.3,3.7,30284,302,76,4,5.3,2.6,5743|54658|64840|102724428,PTGS2|UGT1A1|PORCN|LOC102724428,-0.18,MyList
Cell Type Signatures,7,M39285,DURANTE ADULT OLFACTORY NEUROEPITHELIUM RESPIRATORY CILIATED CELLS,,-2.1,7.7,4.2,30284,156,76,3,3.9,2.2,218|4586|9518,ALDH3A1|MUC5AC|GDF15,-0.18,MyList
DisGeNET,35,C0020542,Pulmonary Hypertension,,-2.1,7.7,4.2,30284,156,76,3,3.9,2.2,1543|5743|7412,CYP1A1|PTGS2|VCAM1,-0.18,MyList
DisGeNET,35,C0947751,Vascular inflammations,,-2.1,5.2,3.7,30284,305,76,4,5.3,2.6,5743|7412|8856|11093,PTGS2|VCAM1|NR1I2|ADAMTS13,-0.17,MyList
DisGeNET,35,C0238339,Hereditary pancreatitis,,-2.1,7.6,4.2,30284,158,76,3,3.9,2.2,1545|4586|5743,CYP1B1|MUC5AC|PTGS2,-0.16,MyList
Cell Type Signatures,7,M40233,DESCARTES FETAL LIVER STELLATE CELLS,,-2.1,7.5,4.1,30284,159,76,3,3.9,2.2,7433|11093|57491,VIPR1|ADAMTS13|AHRR,-0.16,MyList
DisGeNET,35,C1445957,Serum total cholesterol measurement,,-2.1,4.1,3.5,30284,486,76,5,6.6,2.8,1543|5465|8856|51291|54658,CYP1A1|PPARA|NR1I2|GMIP|UGT1A1,-0.16,MyList
DisGeNET,35,C0036220,Kaposi Sarcoma,,-2.1,4.1,3.4,30284,488,76,5,6.6,2.8,290|2069|5743|7412|64781,ANPEP|EREG|PTGS2|VCAM1|CERK,-0.15,MyList
DisGeNET,35,C0010278,Craniosynostosis,,-2.1,4.1,3.4,30284,488,76,5,6.6,2.8,1591|4586|5743|7412|8856,CYP24A1|MUC5AC|PTGS2|VCAM1|NR1I2,-0.15,MyList
DisGeNET,35,C0152171,Idiopathic pulmonary hypertension,,-2.1,7.4,4.1,30284,161,76,3,3.9,2.2,8856|9518|11093,NR1I2|GDF15|ADAMTS13,-0.15,MyList
DisGeNET,35,C0398623,Thrombophilia,,-2.1,7.4,4.1,30284,161,76,3,3.9,2.2,3484|8856|11093,IGFBP1|NR1I2|ADAMTS13,-0.15,MyList
DisGeNET,35,C0002726,Amyloidosis,,-2.1,3.4,3.3,30284,693,76,6,7.9,3.1,2069|5465|5743|7412|8878|9518,EREG|PPARA|PTGS2|VCAM1|SQSTM1|GDF15,-0.14,MyList
DisGeNET,35,C0018923,Hemangiosarcoma,,-2.1,7.4,4.1,30284,162,76,3,3.9,2.2,5465|6520|8140,PPARA|SLC3A2|SLC7A5,-0.14,MyList
DisGeNET,35,C3714636,Pneumonitis,,-2.1,3.4,3.3,30284,696,76,6,7.9,3.1,4586|5743|7412|8856|9424|9518,MUC5AC|PTGS2|VCAM1|NR1I2|KCNK6|GDF15,-0.14,MyList
DisGeNET,35,C0027746,Nerve Degeneration,,-2.1,7.2,4,30284,165,76,3,3.9,2.2,1917|8878|79152,EEF1A2|SQSTM1|FA2H,-0.13,MyList
Cell Type Signatures,7,M40012,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-2.1,7.2,4,30284,165,76,3,3.9,2.2,218|7032|79152,ALDH3A1|TFF2|FA2H,-0.13,MyList
DisGeNET,35,C0030421,Paraganglioma,,-2.1,7.2,4,30284,165,76,3,3.9,2.2,5465|5743|7412,PPARA|PTGS2|VCAM1,-0.13,MyList
